player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Conor Gallagher,Atletico Madrid,2,1.2670744927600026,0,0.49994678795337677,13,4,6.03503056243062,4.425485637038946,La_liga,25/26
Cubo,Atletico Madrid,1,0.34391412138938904,0,0.0,3,0,0.34391412138938904,0.0,La_liga,25/26
Dani Martinez,Atletico Madrid,0,0.0,0,0.0,0,0,0.6260418891906738,0.6260418891906738,La_liga,25/26
David Hancko,Atletico Madrid,0,1.6438409592956305,2,2.1513782758265734,21,13,12.420591298490763,10.175065614283085,La_liga,25/26
Giacomo Raspadori,Atletico Madrid,0,0.8766965568065643,1,0.9504356123507023,7,4,1.947984542697668,0.268772192299366,La_liga,25/26
Giménez,Atletico Madrid,0,1.5400749556720257,1,0.5037803649902344,13,1,3.9388817995786667,3.3341927975416183,La_liga,25/26
Giuliano Simeone,Atletico Madrid,4,6.101236687973142,6,5.526886135339737,36,29,18.556789096444845,9.045107055455446,La_liga,25/26
Iker Luque,Atletico Madrid,1,0.2805066406726837,0,0.0,3,0,0.536297082901001,0.2703782021999359,La_liga,25/26
Jan Oblak,Atletico Madrid,0,0.0,0,0.0,0,0,5.149367045611143,5.149367045611143,La_liga,25/26
Jano Monserrate,Atletico Madrid,0,0.03315109759569168,0,0.0,1,0,0.03315109759569168,0.0,La_liga,25/26
Javi Galán,Atletico Madrid,0,0.1987070022150874,1,1.9444998521357775,6,30,6.001055222004652,4.955446168780327,La_liga,25/26
Javier Boñar,Atletico Madrid,1,0.40209156461060047,0,0.1284143328666687,2,2,1.4182734191417694,0.8877674639225006,La_liga,25/26
Javier Morcillo,Atletico Madrid,0,0.1446019411087036,0,0.06771141290664673,2,1,1.285095565021038,1.2471618428826332,La_liga,25/26
Johnny Cardoso,Atletico Madrid,0,0.04422198887914419,0,0.3355124518275261,2,3,2.7523770481348038,2.4710518792271614,La_liga,25/26
Juan Musso,Atletico Madrid,0,0.0,0,0.0,0,0,2.460761435329914,2.460761435329914,La_liga,25/26
Julio Díaz,Atletico Madrid,0,0.032776471227407455,1,0.5733384490013123,1,6,1.1388447135686874,1.0360560566186905,La_liga,25/26
Julián Álvarez,Atletico Madrid,8,8.894600672647357,4,6.265264900401235,54,47,17.452052727341652,7.806348083540797,La_liga,25/26
Koke,Atletico Madrid,2,0.96241644769907,2,3.4411915335804224,14,35,15.892835207283497,14.468499155715108,La_liga,25/26
Marc Pubill,Atletico Madrid,1,1.3243792597204447,1,0.6268223077058792,11,3,6.8829026222229,5.75148531794548,La_liga,25/26
Marcos Llorente,Atletico Madrid,0,2.2122418731451035,4,4.202356196939945,18,20,17.013618292286992,12.5181664545089,La_liga,25/26
Matteo Ruggeri,Atletico Madrid,0,0.2124060494825244,3,3.9594309981912374,5,25,12.70430188626051,10.554738663136959,La_liga,25/26
Nahuel Molina,Atletico Madrid,2,0.4005685858428478,2,3.0108713675290346,14,20,8.971317809075117,6.135595750063658,La_liga,25/26
Nicolás González,Atletico Madrid,5,5.666498072445393,0,1.7241394147276878,43,12,10.485972724854946,5.266246838495135,La_liga,25/26
Obed Vargas,Atletico Madrid,0,0.19796131737530231,1,0.1968949781730771,5,4,2.4817810729146004,2.10262493789196,La_liga,25/26
Pablo Barrios Rivas,Atletico Madrid,1,1.4689873531460762,1,1.6999459583312273,23,20,10.741906240582466,8.18633103556931,La_liga,25/26
Rayane Belaid,Atletico Madrid,0,0.5801612287759781,0,0.2035212367773056,4,2,0.8024381846189499,0.15107065066695213,La_liga,25/26
Robin Le Normand,Atletico Madrid,1,1.2779291793704033,1,0.34180542454123497,6,2,10.35181195102632,9.952938174828887,La_liga,25/26
Rodrigo Mendoza,Atletico Madrid,1,1.1190941371023655,1,1.3093878580257297,17,15,4.651535008102655,2.7004101844504476,La_liga,25/26
Taufik Seidu,Atletico Madrid,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Thiago Almada,Atletico Madrid,3,3.557283066213131,1,2.7944966796785593,21,28,10.920750670135021,6.215710032731295,La_liga,25/26
Álex Baena,Atletico Madrid,2,1.78207378834486,3,6.565278625115752,29,46,11.438657112419605,6.362705545499921,La_liga,25/26
Andreas Christensen,Barcelona,0,0.26390478387475014,0,0.015875261276960373,4,1,2.129369180649519,2.0777733996510506,La_liga,25/26
Dani Olmo,Barcelona,7,8.75443153269589,8,6.657491793856025,70,50,22.55907628685236,10.709148935973644,La_liga,25/26
Dro Fernández,Barcelona,0,0.0,0,0.05164836347103119,0,2,0.6772245950996876,0.6255762316286564,La_liga,25/26
Eric Garcia,Barcelona,1,3.3442033734172583,1,1.9652331974357367,25,30,24.66808094829321,23.55161388590932,La_liga,25/26
Fermín López,Barcelona,6,7.5230784229934216,9,7.6479049026966095,68,34,24.60513487458229,12.423649363219738,La_liga,25/26
Ferrán Torres,Barcelona,16,16.183371974155307,2,3.157755734398961,69,23,23.031330455094576,5.379237103275955,La_liga,25/26
Frenkie de Jong,Barcelona,1,1.0822599418461323,5,5.096247639507055,7,35,20.46468347683549,16.202723745256662,La_liga,25/26
Gavi,Barcelona,0,0.0,1,0.68575119972229,0,8,3.0562055595219135,2.558164868503809,La_liga,25/26
Gerard Martín,Barcelona,0,0.304868983104825,0,0.7627371614798903,7,13,14.448640180751681,13.939255250617862,La_liga,25/26
